owner,repo,commit
WZBSocialScienceCenter,geovoronoi,ff93ca9c83f7a616580f73a77f3f883b164df6bc
awslabs,predictive-maintenance-using-machine-learning,5ea779b5202735c80d2edc94bf232689d9ed3b10
windelbouwman,ppci,915c069e0667042c085ec42c78e9e3c9a5295324
nategraf,Naumachia,343e9b0de689f8d1f2ab1b30d2a57476a1b937aa
PyCQA,isort,e169a7034493e55404892f328e0219398db61346
SethMMorton,natsort,dc1edbbaf583dcbc4f94a0b89c7faeb850bed25e
Ezibenroc,PyRoaringBitMap,43a72cbfdce0e1ad44ddeeec3641d18f3acb6369
nylas,sync-engine,b91b94b9a0033be4199006eb234d270779a04443
PokeAPI,pokebase,d40c95ce41e62e1d97cefa4ad4ee8d0500c423d9
Lothiraldan,swagger-fuzzer,b0d2ab9298bdd7f8c39c2d6ee449c70d44b1b472
Zac-HD,shed,6471da71c5b5cc443443ef5ed072799db275e7c0
timothycrosley,hypothesis-auto,e64c3b4ce0bf557fd5b0e0ae688890f07886dcb3
LeastAuthority,kubetop,67c730c570b99610029516834db2a93dd12085c4
holzschu,Carnets,dd8681f0f96f55f4a345283e9cd3ad9ecb2009da
FISCO-BCOS,python-sdk,4c3b00f4fd85dfab5e9be3acaa348741552f9c3d
intel,intel-extension-for-pytorch,af7dabeab01f5e571686cfe6bf89f5616e78d128
metasoarous,tripl,80d3b78c2450dcae7e6ab9086e5d6970955a51c8
PyCQA,mccabe,60cf21c21f8e5880f9907561c53732e80d1be400
emfcamp,Website,5d5d93375c9c810766d12a72904d4f8d61881eba
python-mario,mario,336254426d519e353d7184c56512d6225e181095
equinor,xtgeo,7179fc700c7740843403c566a069f8b6b67e1ea8
twisted,txacme,ac382ff1037cba8fb5ea6c90813eccfc69e53d36
rgerum,cameratransform,ed36491b3003bf8429515f3df1c3e319e56eae49
DIRACGrid,DIRAC,d9da8ccff6e5706c9d72648b5b6af329140c0e28
getsentry,sentry-python,2724d65aa6739e391bfc19e689b0c7f0f403b4aa
HumanCompatibleAI,evaluating-rewards,7b99ec9b415d805bd77041f2f7807d112dec9802
uber,tchannel-python,248741146cb25f32fc3a1a3fabfb13d1d6b62355
shreevatsa,sanskrit,bbff87ac9c0689e72d55928c9df002089f7f83e0
wemake-services,wemake-django-template,8776600917b69f5ffc33daea1a8478a84d92e0b3
mapbox,rio-pansharpen,19ffc915882160c7d0c92e01c3c0ee3e4cdf3c5a
thejohnfreeman,python-typeclasses,fee0213f1c7314e3f282a6dfc7fb2cc878e240e3
itamarst,eliot,3e996e70fcaa4a4ff94c51e0800edd2e145342c0
alexshpilkin,dvrip,e76df1d091d85aa6cffb5c332ba6ae419ac9ac89
pandera-dev,pandera,33fe68b7d0c7c3a760469b9898acf286334fe34f
tensorwerk,hangar-py,a6deb22854a6c9e9709011b91c1c0eeda7f47bb0
cart-savior,cart_savior,fc5b920a9512ef69bbfe15a73efafde3d978e2e8
naripok,cryptotrader,a95c978e1270048efca5d3aa7114b177c95d9574
Zabamund,wellpathpy,be32011f87fdbb3d5823d9b11830f3e99c4dffb7
mintel,pytest-localstack,a1fa61dfd5a182b0f0ef365115c797b251e65c04
aws,chalice,9b30601310dff84ba82e7548634b4eb49ca160eb
drvinceknight,Nashpy,ebae5f12338a9e60a240758bace7b4ad80fc2a5f
pandas-dev,pandas,fc6da9c7f590ffd2eaec801060ee4b239fbf3d92
KissPeter,APIFuzzer,a715402c20c656deb6f95ef0b20832cd43e4cf01
holzschu,python3_ios,98e13399d6554e6cbd6a10db136fb6dcbcc02fa4
Apress,clean-python,41a799afebb8470a53752f5588433bf58c965305
python-hyper,priority,a9d56f011bc39d09607fe0510c8f38f849fecf3b
pyodide,pyodide,8554663e9f98ad4e21b490c9d65491d095fa621d
DRMacIver,minithesis,b20e7e9b4d7156a186e0a7e78a8c79e9235214a9
MAVENSDC,cdflib,91e8ee651bab1ffd4bc2ce6aff86905f5164337d
kragen,dumpulse,e71408ced01446d1acaeb206fca880828f55b9c7
ethereum,trinity,6383280c5044feb06695ac2f7bc1100b7bcf4fe0
mapbox,mercantile,5975e1c0e1ec58e99f8e5770c975796e44d96b53
giotto-ai,giotto-tda,6f896531b7c59216fd292018bf73728dea40b7e6
petbox-dev,dca,d5499030dc2bb186e966624f7e0d44f989bbe653
rtosholdings,riptable,e51b3ddfacee30457673de22d21da8226cc57550
PromyLOPh,crocoite,d93e59456e432562e6ceb7a275af47682cc30aa9
CiwPython,Ciw,24a90252eb096039e54d520a6b7d3c3f195b5510
zeropointdynamics,zelos,506554d20656c0d4c64c4d326baec179eede211a
xesscorp,KiField,10d94dcd32912a4f4e3d5b2522ad9d1f032fe892
raamana,kernelmethods,5497b572edc588027f9498d873afca0763d8e8e7
nedbat,coveragepy,ae8d3b9981bac68f903c63c9e432ef5e30b4865b
simonw,sqlite-utils,0aefbb634d1fa0d84a87baf16066fa0ac1c28151
BitBotFactory,MikaLendingBot,b59ab8709220b3be1481ca8949a80f944b05018e
ThalesGroup,pycryptoki,ae98be3b9271e90fe9d38905884bfae79bd7dbe0
piccolbo,altair_recipes,bd7fbe152fa2075a071a15c48ded57eebd7398bd
gehring,fax,1bc0f4ddf4f0d54370b0c04282de49aa85685791
google,caliban,205da6f25b99c0c98cd0d263c47f25bf5e51fa97
life4,deal,f3214274917428f851c2b3b8e3e2a9e92d836ee7
trailofbits,PrivacyRaven,8d5cee834be85ef29502028d3d8788780d393f17
timothycrosley,portray,f8b6d664f0c4d6923958f805fce1a1f94c5eaa6f
uber,bayesmark,8c420e935718f0d6867153b781e58943ecaf2338
zalando-incubator,transformer,fa68c50cda12384aa4ef4009057b56035f1f3412
hwayne,tlacli,df5ca3424930b4a2ef57e18348744b81e55830e2
ethereum,web3.py,0b6239f89c934d3c81d18d2c39747f1fd21cab88
