user,project_name,namespace,url
mozilla-releng,balrog,tests/conftest.py,https://github.com/mozilla-releng/balrog
mozilla-releng,balrog,tests/blobs/test_base.py,https://github.com/mozilla-releng/balrog
mozilla-releng,balrog,tests/web/test_client.py,https://github.com/mozilla-releng/balrog
mre,hyperjson,tests/test_hypothesis.py,https://github.com/mre/hyperjson
mristin,icontract-hypothesis,tests_3_7/strategy_inference/test_strategy_inference_on_forward_declarations.py,https://github.com/mristin/icontract-hypothesis
mristin,icontract-hypothesis,tests/strategy_inference/test_matching_regex.py,https://github.com/mristin/icontract-hypothesis
mristin,icontract-hypothesis,icontract_hypothesis/pyicontract_hypothesis/main.py,https://github.com/mristin/icontract-hypothesis
mristin,icontract-hypothesis,icontract_hypothesis/pyicontract_hypothesis/_test.py,https://github.com/mristin/icontract-hypothesis
mristin,icontract-hypothesis,tests/strategy_inference/test_matching_bounds.py,https://github.com/mristin/icontract-hypothesis
mristin,icontract-hypothesis,tests/pyicontract_hypothesis/test_general.py,https://github.com/mristin/icontract-hypothesis
mristin,icontract-hypothesis,test_samples/pyicontract_hypothesis/expected_ghostwrites/for_test_non_bare_and_non_explicit.py,https://github.com/mristin/icontract-hypothesis
mristin,icontract-hypothesis,icontract_hypothesis/__main__.py,https://github.com/mristin/icontract-hypothesis
mristin,icontract-hypothesis,icontract_hypothesis/pyicontract_hypothesis/_ghostwrite.py,https://github.com/mristin/icontract-hypothesis
mristin,icontract-hypothesis,test_samples/pyicontract_hypothesis/expected_ghostwrites/for_test_non_bare_and_explicit.py,https://github.com/mristin/icontract-hypothesis
mristin,icontract-hypothesis,icontract_hypothesis/__init__.py,https://github.com/mristin/icontract-hypothesis
mristin,icontract-hypothesis,tests/pyicontract_hypothesis/test_test.py,https://github.com/mristin/icontract-hypothesis
mristin,icontract-hypothesis,test_samples/pyicontract_hypothesis/expected_ghostwrites/for_test_well_formatted_with_two_arguments.py,https://github.com/mristin/icontract-hypothesis
mristin,icontract-hypothesis,tests/pyicontract_hypothesis/test_invalid_arguments.py,https://github.com/mristin/icontract-hypothesis
mristin,icontract-hypothesis,tests/pyicontract_hypothesis/test_ghostwrite.py,https://github.com/mristin/icontract-hypothesis
mristin,icontract-hypothesis,tests/test_assume.py,https://github.com/mristin/icontract-hypothesis
mristin,icontract-hypothesis,tests/manually_test_registration.py,https://github.com/mristin/icontract-hypothesis
mristin,icontract-hypothesis,test_samples/pyicontract_hypothesis/sample_module.py,https://github.com/mristin/icontract-hypothesis
mristin,icontract-hypothesis,tests/strategy_inference/test_strategy_inference.py,https://github.com/mristin/icontract-hypothesis
mristin,icontract-hypothesis,benchmarks/compare_with_others.py,https://github.com/mristin/icontract-hypothesis
mvcisback,py-metric-temporal-logic,mtl/test_utils.py,https://github.com/mvcisback/py-metric-temporal-logic
mvcisback,py-metric-temporal-logic,mtl/test_boolean_eval.py,https://github.com/mvcisback/py-metric-temporal-logic
mvcisback,py-metric-temporal-logic,mtl/test_ast.py,https://github.com/mvcisback/py-metric-temporal-logic
mvcisback,py-metric-temporal-logic,mtl/test_parser.py,https://github.com/mvcisback/py-metric-temporal-logic
mvcisback,py-metric-temporal-logic,mtl/test_params.py,https://github.com/mvcisback/py-metric-temporal-logic
mvcisback,py-metric-temporal-logic,mtl/hypothesis.py,https://github.com/mvcisback/py-metric-temporal-logic
nanograv,PINT,tests/test_model_derivatives.py,https://github.com/nanograv/PINT
nanograv,PINT,conftest.py,https://github.com/nanograv/PINT
nanograv,PINT,tests/test_tim_writing.py,https://github.com/nanograv/PINT
nanograv,PINT,tests/test_toa_indexing.py,https://github.com/nanograv/PINT
nanograv,PINT,tests/test_toa_reader.py,https://github.com/nanograv/PINT
nanograv,PINT,tests/test_precision.py,https://github.com/nanograv/PINT
nanograv,PINT,tests/test_utils.py,https://github.com/nanograv/PINT
napari,napari,napari/layers/image/_tests/test_image_utils.py,https://github.com/napari/napari
naripok,cryptotrader,tests/test_TradingEnvironment.py,https://github.com/naripok/cryptotrader
naripok,cryptotrader,tests/test_utils.py,https://github.com/naripok/cryptotrader
nategraf,Naumachia,registrar/app/test_zencode.py,https://github.com/nategraf/Naumachia
nccgroup,blackboxprotobuf,tests/py_test/strategies.py,https://github.com/nccgroup/blackboxprotobuf
nccgroup,blackboxprotobuf,tests/py_test/test_fixed.py,https://github.com/nccgroup/blackboxprotobuf
nccgroup,blackboxprotobuf,tests/py_test/test_protobuf.py,https://github.com/nccgroup/blackboxprotobuf
nccgroup,blackboxprotobuf,tests/py_test/test_length_delim.py,https://github.com/nccgroup/blackboxprotobuf
nccgroup,blackboxprotobuf,tests/py_test/test_varint.py,https://github.com/nccgroup/blackboxprotobuf
nccgroup,blackboxprotobuf,tests/py_test/test_exceptions.py,https://github.com/nccgroup/blackboxprotobuf
nedbat,coveragepy,tests/test_numbits.py,https://github.com/nedbat/coveragepy
neulab,incremental_tree_edit,edit_components/utils/decode.py,https://github.com/neulab/incremental_tree_edit
neulab,incremental_tree_edit,asdl/lang/csharp/csharp_transition.py,https://github.com/neulab/incremental_tree_edit
neulab,incremental_tree_edit,edit_model/editor.py,https://github.com/neulab/incremental_tree_edit
neulab,incremental_tree_edit,edit_model/encdec/edit_decoder.py,https://github.com/neulab/incremental_tree_edit
neulab,external-knowledge-codegen,asdl/lang/py3/demo.py,https://github.com/neulab/external-knowledge-codegen
neulab,external-knowledge-codegen,model/parser.py,https://github.com/neulab/external-knowledge-codegen
neulab,incremental_tree_edit,edit_model/encdec/transition_decoder.py,https://github.com/neulab/incremental_tree_edit
neulab,incremental_tree_edit,edit_components/dataset.py,https://github.com/neulab/incremental_tree_edit
neulab,external-knowledge-codegen,asdl/lang/py/example.py,https://github.com/neulab/external-knowledge-codegen
neulab,incremental_tree_edit,asdl/lang/csharp/csharp_hypothesis.py,https://github.com/neulab/incremental_tree_edit
neulab,external-knowledge-codegen,components/decode_hypothesis.py,https://github.com/neulab/external-knowledge-codegen
neulab,incremental_tree_edit,asdl/lang/csharp/demo.py,https://github.com/neulab/incremental_tree_edit
neulab,incremental_tree_edit,trees/substitution_system.py,https://github.com/neulab/incremental_tree_edit
neulab,external-knowledge-codegen,datasets/conala/dataset.py,https://github.com/neulab/external-knowledge-codegen
neulab,external-knowledge-codegen,components/action_info.py,https://github.com/neulab/external-knowledge-codegen
ngalongc,openapi_security_scanner,schemathesis/utils.py,https://github.com/ngalongc/openapi_security_scanner
ngalongc,openapi_security_scanner,schemathesis/types.py,https://github.com/ngalongc/openapi_security_scanner
ngalongc,openapi_security_scanner,schemathesis/models.py,https://github.com/ngalongc/openapi_security_scanner
ngalongc,openapi_security_scanner,schemathesis/specs/openapi/examples.py,https://github.com/ngalongc/openapi_security_scanner
ngalongc,openapi_security_scanner,schemathesis/specs/openapi/schemas.py,https://github.com/ngalongc/openapi_security_scanner
ngalongc,openapi_security_scanner,schemathesis/stateful.py,https://github.com/ngalongc/openapi_security_scanner
ngalongc,openapi_security_scanner,schemathesis/specs/graphql/schemas.py,https://github.com/ngalongc/openapi_security_scanner
ngalongc,openapi_security_scanner,schemathesis/__init__.py,https://github.com/ngalongc/openapi_security_scanner
ngalongc,openapi_security_scanner,schemathesis/cli/__init__.py,https://github.com/ngalongc/openapi_security_scanner
ngalongc,openapi_security_scanner,schemathesis/extra/pytest_plugin.py,https://github.com/ngalongc/openapi_security_scanner
ngalongc,openapi_security_scanner,schemathesis/schemas.py,https://github.com/ngalongc/openapi_security_scanner
ngalongc,openapi_security_scanner,schemathesis/_hypothesis.py,https://github.com/ngalongc/openapi_security_scanner
ngalongc,openapi_security_scanner,schemathesis/runner/__init__.py,https://github.com/ngalongc/openapi_security_scanner
ngalongc,openapi_security_scanner,schemathesis/runner/impl/core.py,https://github.com/ngalongc/openapi_security_scanner
ngalongc,openapi_security_scanner,schemathesis/hooks.py,https://github.com/ngalongc/openapi_security_scanner
ngalongc,openapi_security_scanner,schemathesis/specs/openapi/_hypothesis.py,https://github.com/ngalongc/openapi_security_scanner
ngalongc,openapi_security_scanner,schemathesis/runner/impl/threadpool.py,https://github.com/ngalongc/openapi_security_scanner
ngalongc,openapi_security_scanner,schemathesis/specs/openapi/stateful/__init__.py,https://github.com/ngalongc/openapi_security_scanner
ngalongc,openapi_security_scanner,schemathesis/specs/openapi/stateful/links.py,https://github.com/ngalongc/openapi_security_scanner
ngalongc,openapi_security_scanner,schemathesis/cli/callbacks.py,https://github.com/ngalongc/openapi_security_scanner
ngalongc,openapi_security_scanner,schemathesis/cli/output/default.py,https://github.com/ngalongc/openapi_security_scanner
nii-yamagishilab,tacotron2,tests/decoder_test.py,https://github.com/nii-yamagishilab/tacotron2
nii-yamagishilab,self-attention-tacotron,modules/transformer_test.py,https://github.com/nii-yamagishilab/self-attention-tacotron
nix-community,pypi2nix,unittests/test_dependency_graph_serialization.py,https://github.com/nix-community/pypi2nix
nnadeau,pybotics,tests/test_robot.py,https://github.com/nnadeau/pybotics
nnadeau,pybotics,tests/test_geometry.py,https://github.com/nnadeau/pybotics
nnadeau,pybotics,tests/test_optimization.py,https://github.com/nnadeau/pybotics
nsalomonis,altanalyze,misopy/sashimi_plot/plot_utils/samples_plotter.py,https://github.com/nsalomonis/altanalyze
nsalomonis,altanalyze,misopy/compare_miso.py,https://github.com/nsalomonis/altanalyze
nsalomonis,altanalyze,misopy/summarize_miso.py,https://github.com/nsalomonis/altanalyze
nsalomonis,altanalyze,misopy/run_miso.py,https://github.com/nsalomonis/altanalyze
nsalomonis,altanalyze,misopy/miso_sampler.py,https://github.com/nsalomonis/altanalyze
nubank,fklearn,tests/preprocessing/test_splitting.py,https://github.com/nubank/fklearn
nucypher,nucypher,tests/unit/test_contract_versioning.py,https://github.com/nucypher/nucypher
numpy,numpy,numpy/lib/tests/test_function_base.py,https://github.com/numpy/numpy
numpy,numpy,numpy/core/tests/test_scalarmath.py,https://github.com/numpy/numpy
numpy,numpy,numpy/core/tests/test_numeric.py,https://github.com/numpy/numpy
numpy,numpy,numpy/core/tests/test_arrayprint.py,https://github.com/numpy/numpy
numpy,numpy,numpy/conftest.py,https://github.com/numpy/numpy
nylas,sync-engine,tests/imap/data.py,https://github.com/nylas/sync-engine
nylas,sync-engine,inbox/test/imap/data.py,https://github.com/nylas/sync-engine
nylas,sync-engine,inbox/test/security/test_blobstorage.py,https://github.com/nylas/sync-engine
nylas,sync-engine,tests/security/test_blobstorage.py,https://github.com/nylas/sync-engine
ocadotechnology,aimmo,aimmo-game/tests/test_interactables/test_damage_pickups_and_effects.py,https://github.com/ocadotechnology/aimmo
ocadotechnology,aimmo,aimmo-game/tests/test_interactables/test_health_pickups_and_effects.py,https://github.com/ocadotechnology/aimmo
oilshell,oil,core/property_tests.py,https://github.com/oilshell/oil
ojacobson,actinide,tests/test_evaluator.py,https://github.com/ojacobson/actinide
ojacobson,actinide,tests/test_tokenizer.py,https://github.com/ojacobson/actinide
ojacobson,actinide,tests/forms.py,https://github.com/ojacobson/actinide
ojacobson,actinide,tests/test_ports.py,https://github.com/ojacobson/actinide
ojacobson,actinide,tests/tokens.py,https://github.com/ojacobson/actinide
ojacobson,actinide,tests/programs.py,https://github.com/ojacobson/actinide
ojacobson,actinide,tests/test_reader.py,https://github.com/ojacobson/actinide
olipratt,swagger-conformance,swaggerconformance/_basictests.py,https://github.com/olipratt/swagger-conformance
olipratt,swagger-conformance,tests/test_swaggerconformance.py,https://github.com/olipratt/swagger-conformance
olipratt,swagger-conformance,swaggerconformance/strategies/basestrategies.py,https://github.com/olipratt/swagger-conformance
olipratt,swagger-conformance,examples/ex_targeted_test.py,https://github.com/olipratt/swagger-conformance
olipratt,swagger-conformance,tests/test_custom_types.py,https://github.com/olipratt/swagger-conformance
olipratt,swagger-conformance,swaggerconformance/strategies/primitivestrategies.py,https://github.com/olipratt/swagger-conformance
opendatacube,datacube-core,integration_tests/data_utils.py,https://github.com/opendatacube/datacube-core
opendatacube,datacube-core,tests/storage/test_netcdfwriter.py,https://github.com/opendatacube/datacube-core
opendatacube,datacube-core,integration_tests/conftest.py,https://github.com/opendatacube/datacube-core
